,Submission ID,taste,Gender,most_expensive_purchase_cat,num_cups_daily,coffee_location,fav_drink,age,is_espresso,pref_roast,whole_milk,skim_milk,half_and_half,creamer,flav_creamer,oat_milk,almond_milk,soy_milk,other_dairy,sugar,art_sweet,honey,maple_syrup,stevia,agave_nectar,brown_sugar,raw_sugar,ethnicity,employment_status
254,rlrMPl,Sweet,Female,0,0,"At home, At a cafe",Latte,25-34 years old,True,Blonde,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Homemaker
255,lNlkyB,Chocolatey,Male,1,3,"At home, On the go, At a cafe, At the office",Iced coffee,18-24 years old,False,Dark,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
256,BGbJo7,Chocolatey,Male,1,3,"At home, At the office, At a cafe",Iced coffee,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,White/Caucasian,Employed full-time
257,xdN5ay,Bold,Male,1,2,"At home, At a cafe, At the office, On the go",Latte,35-44 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,White/Caucasian,Employed full-time
258,MAdpzp,Nutty,Male,1,2,"At home, At a cafe, On the go, At the office",Cortado,35-44 years old,True,Light,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
259,XeBPWj,Floral,Male,1,1,"At the office, At a cafe, At home",Espresso,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
260,g5N6Gl,Chocolatey,Male,0,3,"At a cafe, At home, At the office",Espresso,35-44 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed part-time
261,jB9AZJ,Chocolatey,Female,1,1,"At home, On the go, At a cafe, At the office",Latte,18-24 years old,True,Medium,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Student
262,g5N6e4,Fruity,Male,0,3,"At the office, At home, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
263,0Ejq9Q,Fruity,Male,0,2,"At home, At a cafe",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
264,zKQ5Da,Bright,Male,0,1,"At home, On the go, At a cafe",Latte,18-24 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
265,xdN5Xv,Fruity,Male,1,2,"At home, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed full-time
266,24xGAj,Fruity,Male,1,2,"At home, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
267,lNl8j5,Nutty,Male,0,2,"At a cafe, At home",Cappuccino,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Student
268,VZ1OEj,Juicy,Male,1,2,"At a cafe, At home, On the go",Americano,35-44 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Retired
269,PABJ0Q,Chocolatey,,,1,"At a cafe, At home",Latte,18-24 years old,True,Dark,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
270,jB9AME,Chocolatey,Male,1,2,"At home, At a cafe",Latte,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
271,24xGrp,Juicy,Male,1,2,"At home, At a cafe",Cortado,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Employed full-time
272,0EjRbQ,Nutty,,,0,"At home, On the go",Latte,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
273,MAdpJg,Caramalized,,,0,At a cafe,Mocha,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
274,YZzldq,Chocolatey,Female,0,1,"On the go, At home, At a cafe",Latte,18-24 years old,True,Medium,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
275,RzByYp,Fruity,,,3,"At home, At a cafe, At the office",Pourover,18-24 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
276,PABJB0,Chocolatey,Female,1,1,On the go,Regular drip coffee,25-34 years old,False,Dark,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
277,AlbeDW,Fruity,Non-binary,1,1,"On the go, At a cafe, At the office, At home",Cold brew,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
278,GrBA1o,Juicy,Male,1,2,"At home, At a cafe, On the go",Latte,35-44 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
279,6dQE15,Bright,Male,1,2,"At a cafe, At home, At the office",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed full-time
280,LdMLG1,Fruity,Male,1,3,"At home, At the office, On the go",Americano,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Student
281,LdML0G,Chocolatey,Male,0,1,"At home, On the go",Cappuccino,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
282,zKQ5Kq,Nutty,Male,0,0,"At home, At a cafe",Regular drip coffee,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed part-time
283,rlrMVM,Fruity,Male,1,4,"At home, At a cafe",Pourover,18-24 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
284,DVv6eb,Full Bodied,Male,0,1,"At home, At a cafe",Cortado,18-24 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Student
285,RzByLl,Nutty,Male,1,2,"At home, At the office, At a cafe",Cortado,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
286,YZzlV0,Sweet,Male,0,2,"At the office, At a cafe, At home",Iced coffee,18-24 years old,False,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,White/Caucasian,Student
287,jB9ABE,Fruity,Male,1,2,"At the office, At home, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
288,RzBy4J,Bold,Male,1,4,"At home, At a cafe",Regular drip coffee,>65 years old,False,Dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Native American/Alaska Native,Employed full-time
289,dY2eYA,Fruity,Male,0,2,"On the go, At home",Cortado,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
290,0EjRJ0,Floral,Male,0,1,"At home, At the office, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Employed full-time
291,rlrMKv,Nutty,Male,1,0,"At home, At a cafe",Pourover,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
292,9dJjJ4,Juicy,Male,1,2,"At home, On the go, At a cafe",Espresso,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
293,oAVL0M,Fruity,Male,1,1,"At a cafe, At home",Cortado,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
294,vNx5Od,Fruity,Male,1,1,"On the go, At the office",Cold brew,18-24 years old,False,Medium,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
295,7d9roL,Fruity,Male,1,3,"At the office, At home, At a cafe",Regular drip coffee,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
296,7d9rdA,Fruity,Non-binary,0,2,"At home, At a cafe",Pourover,25-34 years old,False,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
297,lNlkL5,Fruity,Male,1,2,"At home, At a cafe",Cortado,18-24 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
298,0EjRoQ,Fruity,Male,1,3,"At home, At the office, At a cafe, On the go",Pourover,25-34 years old,False,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Employed full-time
299,GrBA1j,Fruity,,1,0,"At a cafe, At the office, At home",Cortado,18-24 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
300,qbE1b7,Bold,Male,0,2,"At home, At a cafe",Cappuccino,18-24 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed part-time
301,g5N6QK,Full Bodied,Female,0,1,"At home, At a cafe, On the go",Mocha,18-24 years old,True,Medium,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Student
302,vNx5NQ,Full Bodied,Male,1,2,"At the office, At home, At a cafe",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
303,6dQEro,Fruity,Male,1,2,"At home, At a cafe",Iced coffee,18-24 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Student
304,NAB1MN,Fruity,Male,1,2,"At home, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
305,9dJjE1,Juicy,Male,1,2,"At home, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed part-time
306,PABJ20,Juicy,Female,1,2,"At home, At the office, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
307,8dp4eA,Fruity,Male,1,2,"At the office, At home, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
308,5dqPEb,Floral,Male,0,2,"At home, At the office, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
309,7d9r46,Full Bodied,Male,1,1,"At home, At a cafe",Pourover,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
310,VZ1Olv,Fruity,Male,0,1,"At home, At a cafe",Other,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
311,OABMJp,Juicy,Male,1,3,"At a cafe, At home, At the office",Cortado,18-24 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
312,aBrqry,Chocolatey,Non-binary,0,2,"At home, On the go, At a cafe",Cortado,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
313,ZdRrGv,Chocolatey,Male,0,1,"At home, At a cafe",Americano,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
314,xdN5ZG,Floral,Male,1,3,"At home, At a cafe",Cortado,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
315,lNlkYV,Bright,Male,1,3,"At home, At the office, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Employed full-time
316,rlrMrL,Chocolatey,Female,1,1,"At home, At a cafe",Latte,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
317,jB9AJ1,Fruity,Female,1,2,"At home, At a cafe",Latte,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
318,rlrMr5,Caramalized,Male,1,1,"At the office, At home, On the go, At a cafe",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Student
319,ZdRrvA,Fruity,Male,1,5,"At home, At a cafe",Espresso,18-24 years old,True,Nordic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
320,LdMLaz,Fruity,Male,1,1,"At home, At the office, At a cafe",Espresso,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
321,PABJBd,Fruity,,,1,"At home, At a cafe",Regular drip coffee,25-34 years old,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
322,42NV9d,Sweet,Male,0,2,"At home, At a cafe, At the office",Pourover,25-34 years old,False,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
323,YZzlY6,Bright,Male,1,0,"At home, At a cafe",Cappuccino,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other (please specify),Unemployed
324,g5N671,Sweet,Male,1,2,"At a cafe, At home",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
325,7d9r16,Bold,Male,0,0,At a cafe,Cortado,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
326,rlrMJp,Fruity,Male,1,2,"At home, At a cafe",Latte,35-44 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
327,bl4Qr2,Fruity,Female,1,3,"At home, At a cafe",Pourover,18-24 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
328,YZzlrq,Fruity,Male,1,1,"At home, At a cafe",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
329,42NVPo,Fruity,Male,1,2,"At a cafe, At home",Pourover,25-34 years old,False,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
330,xdN5Rk,Fruity,Male,0,2,"At a cafe, At home, At the office, On the go",Cortado,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
331,24xGvA,Bold,Non-binary,1,2,"At the office, On the go, At home, At a cafe",Cortado,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
332,AlbeWo,Fruity,Male,1,2,"On the go, At the office, At home",Cappuccino,18-24 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed full-time
333,1r2oN4,Bold,Male,1,3,"On the go, At the office, At home",Regular drip coffee,45-54 years old,False,Dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
334,VZ1ObN,Floral,Male,0,4,"At home, At the office, At a cafe",Espresso,18-24 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Student
335,QABl8l,Juicy,Male,1,2,"At the office, At home, At a cafe, On the go",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
336,24xG1g,Nutty,Male,1,3,"At the office, On the go",Cappuccino,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
337,EPb7BL,Bold,Male,1,1,"At home, On the go, At a cafe, At the office",Cold brew,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
338,bl4Q82,Nutty,Male,1,0,At a cafe,Regular drip coffee,25-34 years old,False,Nordic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
339,24xGOb,Caramalized,Male,0,2,"At home, On the go, At the office",Americano,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
340,bl4Q4E,Bright,Male,1,2,"At home, On the go",Espresso,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
341,EPb70o,Juicy,Male,1,2,"At home, At a cafe",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
342,OABMdk,Fruity,Male,1,2,"At the office, At home, At a cafe, On the go",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Unemployed
343,0EjRv0,Chocolatey,Male,,1,"At home, At the office, On the go",Cold brew,18-24 years old,False,Dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
344,LdMLXG,Bright,Male,1,2,"At the office, At home, At a cafe, On the go",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
345,42NVvB,Sweet,Female,1,0,"At the office, At a cafe",Cappuccino,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
346,GrBAqO,Juicy,Male,1,3,"On the go, At home, At the office, At a cafe",Cortado,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
347,BGbWj4,Bold,Female,1,0,"At the office, At a cafe",Cappuccino,25-34 years old,True,Dark,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
348,ylq5o6,Fruity,Male,1,3,"At home, At a cafe, At the office",Cortado,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
349,5dqPev,Full Bodied,Male,1,1,"At home, At a cafe",Cappuccino,25-34 years old,True,Italian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
350,jB9ALR,Chocolatey,Female,0,2,"At home, At the office, At a cafe, On the go",Latte,18-24 years old,True,Light,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,White/Caucasian,Student
351,J2kvV7,Full Bodied,Male,1,1,"At the office, At home, At a cafe",Cortado,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Unemployed
352,8dp46k,Nutty,Female,1,3,"At home, At a cafe",Pourover,55-64 years old,False,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
353,bl4QK0,Full Bodied,Non-binary,0,1,"At the office, At home, At a cafe",Cappuccino,18-24 years old,True,Blonde,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Student
354,DVv6AX,Floral,Male,1,2,"At a cafe, At the office, At home",Pourover,18-24 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Employed full-time
355,QABlxk,Full Bodied,Non-binary,1,1,"At home, At the office, At a cafe, On the go",Cortado,25-34 years old,True,French,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed part-time
356,aBrqjy,Juicy,Male,1,2,"At home, At a cafe",Regular drip coffee,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
